YEAR,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,Data_Value,Sample_Size,Gender,Race,Age,Education
2015,AL,Alabama,Cigarette Use (Adults),Current Smoking,21.9,"5,252",Overall,White,All Ages,All Grades
2015,KY,Kentucky,Cigarette Use (Adults),Current Smoking,25.8,"7,256",Overall,White,All Ages,All Grades
2014,FL,Florida,Cigarette Use (Adults),Current Smoking,20,"3,679",Male,All Races,All Ages,All Grades
2014,GU,Guam,Cigarette Use (Adults),Current Smoking,29.2,"2,370",Overall,All Races,All Ages,All Grades
2014,GU,Guam,Cigarette Use (Adults),Current Smoking,34.3,"1,026",Male,All Races,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,25.1,"1,523",Overall,All Races,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,24.3,"1,201",Female,All Races,18 to 44 Years,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,33.1,672,Male,All Races,All Ages,All Grades
2016,GU,Guam,Cigarette Use (Adults),Current Smoking,17,851,Female,All Races,All Ages,All Grades
2016,NE,Nebraska,Cigarette Use (Adults),Current Smoking,18.6,"6,463",Male,All Races,All Ages,All Grades
2014,GU,Guam,Cigarette Use (Adults),Current Smoking,24.2,"1,344",Female,All Races,All Ages,All Grades
2014,NY,New York,Cigarette Use (Adults),Current Smoking,15,"4,228",Overall,White,All Ages,All Grades
2012,OR,Oregon,Cigarette Use (Adults),Current Smoking,17.1,"3,085",Female,All Races,All Ages,All Grades
2011,PR,Puerto Rico,Cigarette Use (Adults),Current Smoking,14.8,"6,498",Overall,Hispanic,All Ages,All Grades
2011,PR,Puerto Rico,Cigarette Use (Adults),Current Smoking,7.7,79,Overall,White,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,21.5,"6,764",Overall,All Races,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,23.3,"2,695",Male,All Races,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,20,"4,069",Female,All Races,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,18.1,"1,781",Overall,African American,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,35.7,76,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,,,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,13.7,83,Overall,Hispanic,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,22.8,"4,572",Overall,White,All Ages,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,16.5,424,Overall,All Races,18 to 24 Years,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,28.8,"1,580",Overall,All Races,25 to 44 Years,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,23.7,"2,569",Overall,All Races,45 to 64 Years,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,10,"2,191",Overall,All Races,65 Years and Older,All Grades
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,39.8,738,Overall,All Races,Age 20 and Older,< 12th Grade
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,25.1,"2,085",Overall,All Races,Age 20 and Older,12th Grade
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,14.8,"3,821",Overall,All Races,Age 20 and Older,> 12th Grade
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,38.8,722,Overall,All Races,Age 25 and Older,< 12th Grade
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,25.7,"1,996",Overall,All Races,Age 25 and Older,12th Grade
2016,AL,Alabama,Cigarette Use (Adults),Current Smoking,15,"3,605",Overall,All Races,Age 25 and Older,> 12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,19,"2,811",Overall,All Races,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,21.2,"1,322",Male,All Races,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,16.6,"1,489",Female,All Races,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,,,Overall,African American,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,41.8,435,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,12.9,62,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,19.1,85,Overall,Hispanic,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,15.3,"2,002",Overall,White,All Ages,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,17,178,Overall,All Races,18 to 24 Years,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,23.9,661,Overall,All Races,25 to 44 Years,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,19.2,"1,226",Overall,All Races,45 to 64 Years,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,8.1,746,Overall,All Races,65 Years and Older,All Grades
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,46.5,139,Overall,All Races,Age 20 and Older,< 12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,26.3,752,Overall,All Races,Age 20 and Older,12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,13.4,"1,852",Overall,All Races,Age 20 and Older,> 12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,45.9,133,Overall,All Races,Age 25 and Older,< 12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,25,697,Overall,All Races,Age 25 and Older,12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,13.9,"1,793",Overall,All Races,Age 25 and Older,> 12th Grade
2016,AK,Alaska,Cigarette Use (Adults),Current Smoking,19,432,Female,All Races,18 to 44 Years,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,14.7,"10,509",Overall,All Races,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,17.5,"4,368",Male,All Races,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,12.1,"6,141",Female,All Races,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,22,235,Overall,African American,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,19.8,464,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,9.8,143,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,11.4,"1,235",Overall,Hispanic,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,15.5,"7,975",Overall,White,All Ages,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,9,356,Overall,All Races,18 to 24 Years,All Grades
2016,AZ,Arizona,Cigarette Use (Adults),Current Smoking,18.6,"1,559",Overall,All Races,25 to 44 Years,All Grades
